,customer_id,type_of_customer
385,36695,Vegan People
386,31821,Vegan People
387,34101,Vegan People
388,1952,Vegan People
389,27841,Vegan People
390,3960,Vegan People
391,1330,Vegan People
392,1707,Vegan People
393,34165,Vegan People
394,16561,Vegan People
395,9259,Vegan People
396,28232,Vegan People
397,9603,Vegan People
398,12383,Vegan People
399,474,Vegan People
400,4979,Vegan People
401,12308,Vegan People
402,34940,Vegan People
403,33361,Vegan People
404,27410,Vegan People
405,37699,Vegan People
406,37188,Vegan People
407,17618,Vegan People
408,36408,Vegan People
409,6222,Vegan People
410,22038,Vegan People
411,32850,Vegan People
412,25270,Vegan People
413,4583,Vegan People
414,11767,Vegan People
415,4120,Vegan People
416,33555,Vegan People
417,3074,Vegan People
418,4981,Vegan People
419,11221,Vegan People
420,28260,Vegan People
421,24095,Vegan People
422,11555,Vegan People
423,9770,Vegan People
424,37411,Vegan People
425,22909,Vegan People
426,33690,Vegan People
427,26413,Vegan People
428,10792,Vegan People
429,28820,Vegan People
430,99,Vegan People
431,23686,Vegan People
432,39062,Vegan People
433,840,Vegan People
434,34145,Vegan People
435,26946,Vegan People
436,33432,Vegan People
437,25344,Vegan People
438,9653,Vegan People
439,19655,Vegan People
440,21296,Vegan People
441,15213,Vegan People
442,683,Vegan People
443,9714,Vegan People
444,13155,Vegan People
445,13166,Vegan People
446,10935,Vegan People
447,29985,Vegan People
448,38238,Vegan People
449,34282,Vegan People
450,19858,Vegan People
451,431,Vegan People
452,27990,Vegan People
453,34335,Vegan People
454,37060,Vegan People
455,26481,Vegan People
456,34232,Vegan People
457,19044,Vegan People
458,9119,Vegan People
459,29280,Vegan People
460,4204,Vegan People
461,17050,Vegan People
462,7641,Vegan People
463,30419,Vegan People
464,9358,Vegan People
465,31024,Vegan People
466,38556,Vegan People
467,5159,Vegan People
468,13924,Vegan People
469,13572,Vegan People
470,26015,Vegan People
471,37677,Vegan People
472,31814,Vegan People
473,9080,Vegan People
474,3401,Vegan People
475,26380,Vegan People
476,36331,Vegan People
477,25778,Vegan People
478,16287,Vegan People
479,17600,Vegan People
480,17635,Vegan People
481,15002,Vegan People
482,34885,Vegan People
483,12576,Vegan People
484,37036,Vegan People
485,22850,Vegan People
486,30713,Vegan People
487,7988,Vegan People
488,27855,Vegan People
489,7620,Vegan People
490,24685,Vegan People
491,36686,Vegan People
492,3241,Vegan People
493,26257,Vegan People
494,11729,Vegan People
495,29589,Vegan People
496,10187,Vegan People
497,18733,Vegan People
498,37404,Vegan People
499,30554,Vegan People
500,39478,Vegan People
501,974,Vegan People
502,34108,Vegan People
503,32866,Vegan People
504,22620,Vegan People
505,13407,Vegan People
506,34813,Vegan People
507,6999,Vegan People
508,25521,Vegan People
509,30504,Vegan People
510,36158,Vegan People
511,4118,Vegan People
512,25482,Vegan People
513,18252,Vegan People
514,32485,Vegan People
515,33784,Vegan People
516,2064,Vegan People
517,15555,Vegan People
518,6649,Vegan People
519,8574,Vegan People
520,32870,Vegan People
521,4456,Vegan People
522,39023,Vegan People
523,28775,Vegan People
524,35553,Vegan People
525,18901,Vegan People
526,12154,Vegan People
527,35679,Vegan People
528,34824,Vegan People
529,19722,Vegan People
530,16552,Vegan People
531,29318,Vegan People
532,20475,Vegan People
533,31093,Vegan People
534,33430,Vegan People
535,38597,Vegan People
536,2143,Vegan People
537,3640,Vegan People
538,15030,Vegan People
539,28669,Vegan People
540,24573,Vegan People
541,37380,Vegan People
542,3337,Vegan People
543,4657,Vegan People
544,34029,Vegan People
545,33521,Vegan People
546,27476,Vegan People
547,4946,Vegan People
548,20724,Vegan People
549,33454,Vegan People
550,39085,Vegan People
551,38263,Vegan People
552,35065,Vegan People
553,428,Vegan People
554,10569,Vegan People
555,19502,Vegan People
556,25314,Vegan People
557,6671,Vegan People
558,16662,Vegan People
559,3295,Vegan People
560,21880,Vegan People
561,31898,Vegan People
562,34545,Vegan People
563,39265,Vegan People
564,7687,Vegan People
565,33042,Vegan People
566,28591,Vegan People
567,16454,Vegan People
568,27421,Vegan People
569,3274,Vegan People
570,14632,Vegan People
571,16342,Vegan People
572,25159,Vegan People
573,1730,Vegan People
574,18581,Vegan People
575,22976,Vegan People
576,13158,Vegan People
577,28732,Vegan People
578,17597,Vegan People
579,20788,Vegan People
580,4542,Vegan People
581,29510,Vegan People
582,28937,Vegan People
583,38370,Vegan People
584,2842,Vegan People
585,3998,Vegan People
586,12606,Vegan People
587,18862,Vegan People
588,23356,Vegan People
589,19880,Vegan People
590,18204,Vegan People
591,16760,Vegan People
592,6138,Vegan People
593,3364,Vegan People
594,29780,Vegan People
595,6201,Vegan People
596,22843,Vegan People
597,28022,Vegan People
598,8473,Vegan People
599,2676,Vegan People
600,38251,Vegan People
601,27912,Vegan People
602,25184,Vegan People
603,9014,Vegan People
604,24155,Vegan People
605,1374,Vegan People
606,37445,Vegan People
607,353,Vegan People
608,17047,Vegan People
609,36073,Vegan People
610,15098,Vegan People
611,22067,Vegan People
612,8005,Vegan People
613,32921,Vegan People
614,20657,Vegan People
615,13657,Vegan People
616,22509,Vegan People
617,14587,Vegan People
618,30311,Vegan People
619,1727,Vegan People
620,7606,Vegan People
621,24106,Vegan People
622,32517,Vegan People
623,20220,Vegan People
624,29505,Vegan People
625,30527,Vegan People
626,20499,Vegan People
627,14871,Vegan People
628,10921,Vegan People
629,18546,Vegan People
630,30103,Vegan People
631,22444,Vegan People
632,33820,Vegan People
633,28724,Vegan People
634,16492,Vegan People
635,1161,Vegan People
636,17536,Vegan People
637,6582,Vegan People
638,32887,Vegan People
639,29331,Vegan People
640,35533,Vegan People
641,32266,Vegan People
642,6853,Vegan People
643,26757,Vegan People
644,14162,Vegan People
645,37880,Vegan People
646,37846,Vegan People
647,38657,Vegan People
648,28878,Vegan People
649,28924,Vegan People
650,20526,Vegan People
651,30243,Vegan People
652,30144,Vegan People
653,18880,Vegan People
654,20109,Vegan People
655,31504,Vegan People
656,36228,Vegan People
657,35244,Vegan People
658,31618,Vegan People
659,5089,Vegan People
660,13683,Vegan People
661,18371,Vegan People
662,15231,Vegan People
663,7121,Vegan People
664,10275,Vegan People
665,798,Vegan People
666,14929,Vegan People
667,9552,Vegan People
668,5357,Vegan People
669,9074,Vegan People
670,37864,Vegan People
671,30170,Vegan People
672,36929,Vegan People
673,4518,Vegan People
674,23214,Vegan People
675,11905,Vegan People
676,13190,Vegan People
677,29892,Vegan People
678,36900,Vegan People
679,31779,Vegan People
680,20847,Vegan People
681,6856,Vegan People
682,26317,Vegan People
683,1989,Vegan People
684,23194,Vegan People
685,15752,Vegan People
686,35739,Vegan People
687,24034,Vegan People
688,30479,Vegan People
689,36148,Vegan People
690,28563,Vegan People
691,12485,Vegan People
692,34156,Vegan People
693,33710,Vegan People
694,3753,Vegan People
695,34044,Vegan People
696,28985,Vegan People
697,24957,Vegan People
698,31211,Vegan People
699,27544,Vegan People
700,34110,Vegan People
701,744,Vegan People
702,24865,Vegan People
703,18055,Vegan People
704,13712,Vegan People
705,3384,Vegan People
706,10417,Vegan People
707,37436,Vegan People
708,35661,Vegan People
709,10137,Vegan People
710,33123,Vegan People
711,21691,Vegan People
712,35082,Vegan People
713,32228,Vegan People
714,5816,Vegan People
715,9767,Vegan People
716,5114,Vegan People
717,27915,Vegan People
718,26665,Vegan People
719,8419,Vegan People
720,27013,Vegan People
721,5192,Vegan People
722,23510,Vegan People
723,6336,Vegan People
724,33388,Vegan People
725,26802,Vegan People
726,7799,Vegan People
727,10565,Vegan People
728,25113,Vegan People
729,35245,Vegan People
730,34,Vegan People
731,3233,Vegan People
732,5971,Vegan People
733,26683,Vegan People
734,8941,Vegan People
735,18916,Vegan People
736,19901,Vegan People
737,21728,Vegan People
738,29277,Vegan People
739,34257,Vegan People
740,12120,Vegan People
741,27331,Vegan People
742,8909,Vegan People
743,34350,Vegan People
744,17924,Vegan People
745,36232,Vegan People
746,26040,Vegan People
747,35681,Vegan People
748,37850,Vegan People
749,20561,Vegan People
750,17400,Vegan People
751,24843,Vegan People
752,36470,Vegan People
753,24899,Vegan People
754,20202,Vegan People
755,37823,Vegan People
756,24698,Vegan People
757,35774,Vegan People
758,31410,Vegan People
759,8302,Vegan People
760,2922,Vegan People
761,16630,Vegan People
762,13951,Vegan People
763,17396,Vegan People
764,25899,Vegan People
765,22341,Vegan People
766,33154,Vegan People
767,9376,Vegan People
768,33089,Vegan People
769,28618,Vegan People
770,18198,Vegan People
771,32751,Vegan People
772,23693,Vegan People
773,22441,Vegan People
774,3409,Vegan People
775,10812,Vegan People
776,21307,Vegan People
777,35542,Vegan People
778,33495,Vegan People
779,17218,Vegan People
780,28157,Vegan People
781,38360,Vegan People
782,24331,Vegan People
783,9523,Vegan People
784,26008,Vegan People
785,14451,Vegan People
786,23237,Vegan People
787,18180,Vegan People
788,36219,Vegan People
789,30884,Vegan People
790,6823,Vegan People
791,31153,Vegan People
792,12760,Vegan People
793,6374,Vegan People
794,36419,Vegan People
795,28916,Vegan People
796,32394,Vegan People
797,14113,Vegan People
798,32672,Vegan People
799,22503,Vegan People
800,19174,Vegan People
801,1091,Vegan People
802,7685,Vegan People
803,6561,Vegan People
804,19401,Vegan People
805,26844,Vegan People
806,6312,Vegan People
807,34028,Vegan People
808,35586,Vegan People
809,15892,Vegan People
810,24426,Vegan People
811,5949,Vegan People
812,16416,Vegan People
813,10781,Vegan People
814,23584,Vegan People
815,7207,Vegan People
816,6631,Vegan People
817,15302,Vegan People
818,29654,Vegan People
819,39307,Vegan People
820,37738,Vegan People
821,37600,Vegan People
822,23984,Vegan People
823,26967,Vegan People
824,6923,Vegan People
825,33831,Vegan People
826,8728,Vegan People
827,27757,Vegan People
828,21817,Vegan People
829,28079,Vegan People
830,24159,Vegan People
831,36744,Vegan People
832,17384,Vegan People
833,24327,Vegan People
834,5522,Vegan People
835,26035,Vegan People
836,26381,Vegan People
837,9753,Vegan People
838,15039,Vegan People
839,27297,Vegan People
840,37838,Vegan People
841,13306,Vegan People
842,23436,Vegan People
843,19937,Vegan People
844,23137,Vegan People
845,33709,Vegan People
846,32588,Vegan People
847,7193,Vegan People
848,3510,Vegan People
849,35269,Vegan People
850,39794,Vegan People
851,14571,Vegan People
852,31354,Vegan People
853,16162,Vegan People
854,9815,Vegan People
855,31916,Vegan People
856,25219,Vegan People
857,5275,Vegan People
858,22962,Vegan People
859,20166,Vegan People
860,19567,Vegan People
861,7133,Vegan People
862,12560,Vegan People
863,5458,Vegan People
864,36749,Vegan People
865,31912,Vegan People
866,8182,Vegan People
867,32965,Vegan People
868,932,Vegan People
869,16378,Vegan People
870,3705,Vegan People
871,39437,Vegan People
872,14809,Vegan People
873,3135,Vegan People
874,23942,Vegan People
875,38815,Vegan People
876,35765,Vegan People
877,26210,Vegan People
878,9838,Vegan People
879,25744,Vegan People
880,28334,Vegan People
881,11895,Vegan People
882,26840,Vegan People
883,4015,Vegan People
884,36397,Vegan People
885,5365,Vegan People
886,25368,Vegan People
887,19831,Vegan People
888,28588,Vegan People
889,16622,Vegan People
890,10148,Vegan People
891,4016,Vegan People
892,15518,Vegan People
893,1455,Vegan People
894,11649,Vegan People
895,25176,Vegan People
896,5406,Vegan People
897,28377,Vegan People
898,26979,Vegan People
899,19630,Vegan People
900,10319,Vegan People
901,3900,Vegan People
902,13627,Vegan People
903,34747,Vegan People
904,31523,Vegan People
905,9546,Vegan People
906,24911,Vegan People
907,28128,Vegan People
908,39746,Vegan People
909,25250,Vegan People
910,19928,Vegan People
911,18515,Vegan People
912,23744,Vegan People
913,13032,Vegan People
914,22340,Vegan People
915,24140,Vegan People
916,37679,Vegan People
917,4556,Vegan People
918,3094,Vegan People
919,20507,Vegan People
920,32166,Vegan People
921,9704,Vegan People
922,11449,Vegan People
923,8729,Vegan People
924,36735,Vegan People
925,3355,Vegan People
926,12988,Vegan People
927,35479,Vegan People
928,39833,Vegan People
929,18264,Vegan People
930,1808,Vegan People
931,10800,Vegan People
932,13634,Vegan People
933,18321,Vegan People
934,23585,Vegan People
935,17,Vegan People
936,37246,Vegan People
937,38966,Vegan People
938,35259,Vegan People
939,25029,Vegan People
940,3478,Vegan People
941,34077,Vegan People
942,22513,Vegan People
943,29782,Vegan People
944,12855,Vegan People
945,29862,Vegan People
946,21904,Vegan People
947,38337,Vegan People
948,31054,Vegan People
949,13916,Vegan People
950,6257,Vegan People
951,17531,Vegan People
952,7364,Vegan People
953,7610,Vegan People
954,12927,Vegan People
955,9775,Vegan People
956,13817,Vegan People
957,36185,Vegan People
958,34423,Vegan People
959,7281,Vegan People
960,16898,Vegan People
961,19815,Vegan People
962,22660,Vegan People
963,2515,Vegan People
964,13645,Vegan People
965,36090,Vegan People
966,9909,Vegan People
967,35948,Vegan People
968,22281,Vegan People
969,5023,Vegan People
970,36872,Vegan People
971,2580,Vegan People
972,4743,Vegan People
973,10489,Vegan People
974,25320,Vegan People
975,17629,Vegan People
976,22133,Vegan People
977,26344,Vegan People
978,5788,Vegan People
979,24060,Vegan People
980,6215,Vegan People
981,23519,Vegan People
982,37656,Vegan People
983,38274,Vegan People
984,16231,Vegan People
985,23912,Vegan People
986,35995,Vegan People
987,21390,Vegan People
988,26140,Vegan People
989,37958,Vegan People
990,12844,Vegan People
991,29042,Vegan People
992,18069,Vegan People
993,32769,Vegan People
994,27554,Vegan People
995,29770,Vegan People
996,35253,Vegan People
997,16631,Vegan People
998,14206,Vegan People
999,29302,Vegan People
1000,35370,Vegan People
1001,32917,Vegan People
1002,9657,Vegan People
1003,34365,Vegan People
1004,22399,Vegan People
1005,7533,Vegan People
1006,37840,Vegan People
1007,20505,Vegan People
1008,22382,Vegan People
1009,8062,Vegan People
1010,16421,Vegan People
1011,759,Vegan People
1012,33543,Vegan People
1013,22819,Vegan People
1014,3067,Vegan People
1015,15248,Vegan People
1016,38665,Vegan People
1017,25599,Vegan People
1018,32617,Vegan People
1019,5634,Vegan People
1020,27508,Vegan People
1021,28372,Vegan People
1022,22125,Vegan People
1023,28439,Vegan People
1024,3815,Vegan People
1025,2751,Vegan People
1026,29802,Vegan People
1027,22071,Vegan People
1028,2478,Vegan People
1029,10335,Vegan People
1030,6001,Vegan People
1031,24352,Vegan People
1032,34171,Vegan People
1033,4525,Vegan People
1034,22747,Vegan People
1035,25802,Vegan People
1036,37088,Vegan People
1037,354,Vegan People
1038,10200,Vegan People
1039,28528,Vegan People
1040,15636,Vegan People
1041,33314,Vegan People
1042,27048,Vegan People
1043,38410,Vegan People
1044,23034,Vegan People
1045,21189,Vegan People
1046,32107,Vegan People
1047,6524,Vegan People
1048,22524,Vegan People
1049,4383,Vegan People
1050,26393,Vegan People
1051,32742,Vegan People
1052,5646,Vegan People
1053,3021,Vegan People
1054,2753,Vegan People
1055,163,Vegan People
1056,20923,Vegan People
1057,24315,Vegan People
1058,21375,Vegan People
1059,8145,Vegan People
1060,7297,Vegan People
1061,34231,Vegan People
1062,21357,Vegan People
1063,23579,Vegan People
1064,33136,Vegan People
1065,14952,Vegan People
1066,34840,Vegan People
1067,28861,Vegan People
1068,30086,Vegan People
1069,14895,Vegan People
1070,27588,Vegan People
1071,26992,Vegan People
1072,4201,Vegan People
1073,7032,Vegan People
1074,24065,Vegan People
1075,868,Vegan People
1076,1082,Vegan People
1077,30895,Vegan People
1078,22256,Vegan People
1079,15660,Vegan People
1080,37589,Vegan People
1081,30794,Vegan People
1082,16802,Vegan People
1083,31454,Vegan People
1084,13876,Vegan People
1085,38344,Vegan People
1086,28107,Vegan People
1087,1557,Vegan People
1088,34359,Vegan People
1089,9723,Vegan People
1090,20367,Vegan People
1091,27200,Vegan People
1092,31171,Vegan People
1093,32075,Vegan People
1094,35755,Vegan People
1095,2955,Vegan People
1096,5046,Vegan People
1097,10983,Vegan People
1098,38234,Vegan People
1099,38877,Vegan People
1100,18267,Vegan People
1101,4509,Vegan People
1102,38036,Vegan People
1103,2198,Vegan People
1104,36074,Vegan People
1105,21741,Vegan People
1106,3727,Vegan People
1107,35415,Vegan People
1108,36852,Vegan People
1109,36579,Vegan People
1110,35330,Vegan People
1111,38676,Vegan People
1112,16941,Vegan People
1113,25130,Vegan People
1114,15607,Vegan People
1115,16585,Vegan People
1116,39567,Vegan People
1117,29321,Vegan People
1118,23355,Vegan People
1119,35926,Vegan People
1120,9480,Vegan People
1121,15504,Vegan People
1122,22899,Vegan People
1123,10564,Vegan People
1124,31254,Vegan People
1125,11697,Vegan People
1126,32230,Vegan People
1127,23421,Vegan People
1128,39168,Vegan People
1129,22265,Vegan People
1130,30949,Vegan People
1131,20302,Vegan People
1132,20271,Vegan People
1133,23175,Vegan People
1134,28556,Vegan People
1135,26032,Vegan People
1136,38195,Vegan People
1137,29991,Vegan People
1138,19164,Vegan People
1139,20044,Vegan People
1140,33400,Vegan People
1141,10311,Vegan People
1142,8894,Vegan People
1143,4092,Vegan People
1144,8378,Vegan People
1145,23219,Vegan People
1146,25826,Vegan People
1147,32202,Vegan People
1148,3071,Vegan People
1149,32385,Vegan People
1150,35831,Vegan People
1151,11818,Vegan People
1152,2827,Vegan People
1153,22799,Vegan People
1154,2018,Vegan People
1155,20110,Vegan People
1156,39951,Vegan People
1157,27407,Vegan People
1158,7359,Vegan People
1159,29248,Vegan People
1160,3436,Vegan People
1161,1219,Vegan People
1162,25940,Vegan People
1163,708,Vegan People
1164,36635,Vegan People
1165,39562,Vegan People
1166,26304,Vegan People
1167,30001,Vegan People
1168,11311,Vegan People
1169,27110,Vegan People
1170,2378,Vegan People
1171,30656,Vegan People
1172,31882,Vegan People
1173,24515,Vegan People
1174,24711,Vegan People
1175,4718,Vegan People
1176,20259,Vegan People
1177,18911,Vegan People
1178,3291,Vegan People
1179,18967,Vegan People
1180,21351,Vegan People
1181,19279,Vegan People
1182,22821,Vegan People
1183,16883,Vegan People
1184,9575,Vegan People
1185,22978,Vegan People
1186,37642,Vegan People
1187,22541,Vegan People
1188,39661,Vegan People
1189,13597,Vegan People
1190,27546,Vegan People
1191,36645,Vegan People
1192,37776,Vegan People
1193,27128,Vegan People
1194,22823,Vegan People
1195,19671,Vegan People
1196,32776,Vegan People
1197,9754,Vegan People
1198,19800,Vegan People
1199,13498,Vegan People
1200,20386,Vegan People
1201,703,Vegan People
1202,12440,Vegan People
1203,30961,Vegan People
1204,22704,Vegan People
1205,10736,Vegan People
1206,2084,Vegan People
1207,138,Vegan People
1208,27162,Vegan People
1209,23298,Vegan People
1210,17570,Vegan People
1211,14600,Vegan People
1212,30381,Vegan People
1213,24664,Vegan People
1214,10814,Vegan People
1215,5819,Vegan People
1216,26331,Vegan People
1217,26245,Vegan People
1218,11666,Vegan People
1219,2937,Vegan People
1220,3965,Vegan People
1221,30044,Vegan People
1222,19929,Vegan People
1223,37910,Vegan People
1224,1120,Vegan People
1225,893,Vegan People
1226,3292,Vegan People
1227,2785,Vegan People
1228,1994,Vegan People
1229,31940,Vegan People
1230,28235,Vegan People
1231,37365,Vegan People
1232,5986,Vegan People
1233,20909,Vegan People
1234,14157,Vegan People
1235,22335,Vegan People
1236,6288,Vegan People
1237,36189,Vegan People
1238,30324,Vegan People
1239,2010,Vegan People
1240,31403,Vegan People
1241,16477,Vegan People
1242,22364,Vegan People
1243,292,Vegan People
1244,34059,Vegan People
1245,36036,Vegan People
1246,2579,Vegan People
1247,23629,Vegan People
1248,28512,Vegan People
1249,16467,Vegan People
